2025-10-11 11:36:20 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:36:20 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:36:20 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:36:20 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:36:21 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:36:21 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:36:21 EEST | INFO     | 
================================================================================
2025-10-11 11:36:21 EEST | INFO     | 🔍 АНАЛИЗ: 1000LUNCUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:36:21 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:36:21 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:36:21 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:36:21 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:36:21 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:36:21 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:36:21 EEST | INFO     | 
================================================================================
2025-10-11 11:36:21 EEST | INFO     | 🔍 АНАЛИЗ: LUNA2USDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:36:22 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:36:22 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:36:22 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:36:22 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:36:22 EEST | INFO     | 
================================================================================
2025-10-11 11:36:22 EEST | INFO     | 🔍 АНАЛИЗ: LDOUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:36:22 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:36:22 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:36:22 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:36:22 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:36:22 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:36:22 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:36:23 EEST | INFO     | 
================================================================================
2025-10-11 11:36:23 EEST | INFO     | 🔍 АНАЛИЗ: ICPUSDT | Режим: SQUEEZE | Bias: bearish
2025-10-11 11:36:23 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:36:23 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:36:23 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:36:23 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:36:23 EEST | INFO     | 
================================================================================
2025-10-11 11:36:23 EEST | INFO     | 🔍 АНАЛИЗ: APTUSDT | Режим: SQUEEZE | Bias: neutral
2025-10-11 11:36:23 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
2025-10-11 11:36:23 EEST | DEBUG    |     ❌ Режим SQUEEZE, требуется TREND
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Donchian Breakout → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Squeeze Breakout (1h)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Squeeze Breakout → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: ORB/IRB (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ ORB/IRB → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (1h)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: ATR Momentum (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ ATR Momentum → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: VWAP Mean Reversion (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ VWAP Mean Reversion → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Range Fade (15m)
2025-10-11 11:36:23 EEST | DEBUG    |   ⚪ Range Fade → нет сигнала
2025-10-11 11:36:23 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-11 11:36:24 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-11 11:36:24 EEST | DEBUG    |   🔍 Проверка: RSI/Stoch MR (15m)
2025-10-11 11:36:24 EEST | DEBUG    |   ⚪ RSI/Stoch MR → нет сигнала
2025-10-11 11:36:24 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-11 11:36:24 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-11 11:36:24 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-11 11:36:24 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-11 11:36:24 EEST | DEBUG    |   🔍 Проверка: CVD Divergence (15m)
2025-10-11 11:36:24 EEST | DEBUG    |   ⚪ CVD Divergence → нет сигнала
2025-10-11 11:36:24 EEST | DEBUG    |   🔍 Проверка: Time-of-Day (15m)
2025-10-11 11:36:24 EEST | DEBUG    |   ⚪ Time-of-Day → нет сигнала
2025-10-11 11:36:24 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-11 11:36:24 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-11 11:36:24 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-11 11:36:24 EEST | INFO     | 📈 Итого: проверено 15, пропущено 1, сигналов 0
2025-10-11 11:36:24 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-11 11:36:24 EEST | INFO     | 
================================================================================
2025-10-11 11:36:24 EEST | INFO     | 🔍 АНАЛИЗ: QNTUSDT | Режим: SQUEEZE | Bias: neutral
2025-10-11 11:36:24 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-11 11:36:24 EEST | DEBUG    |   🔍 Проверка: Donchian Breakout (1h)
